reading_status,title,author,platform,pairing,status,words,chapters,rating,link
Gelesen,Masks and Mirrors,Jenny Nocturna Black,FF.de,Dramione,Completed,"230,276",78,10,https://www.fanfiktion.de/s/d/645503a4000cf3a52712cb2d/Masks-and-Mirrors
Gelesen,Die Alchemistin - Bis in den Tod,Monia Tahnea,FF.de ,OC/SS,Completed,"261,164",129,7,https://www.fanfiktion.de/s/d/641b4eb7000276599b0d7d3/Die-Alchemistin-Bis-in-den-Tod
Gelesen,"Bloody, Slutty and Pathetic",WhatMurdah,,,,195k,,,
Gelesen,Damaged Goods,slytherin_after_dark,,,,,,,
Nicht gelesen,"From Wilsthire, With Love",MistressLynn ,Ao3,Dramione,Completed,"352,755",86,,https://archiveofourown.org/works/30318162/chapters/74730492
Nicht gelesen,Love In A Time Of The Zombie Apocalypse,rizzlewrites,Ao3,Dramione,Completed,"356,295",84,,https://archiveofourown.org/works/28137807/chapters/68944698
Nicht gelesen,Beginning and End ,mightbewriting,Ao3,Dramione,Completed,"241,977",48,,https://archiveofourown.org/works/25634758/chapters/62228269
Nicht gelesen,A Season For Setting Fire,mightbewriting,Ao3,Dramione,Completed,"95,639",31,,https://archiveofourown.org/works/31265246/chapters/77286599
Nicht gelesen,Cruel and Beautiful Word,Lena Phoria,Download,Dramione,Completed,417k,50,,Nicht mehr auf AO3 weil Self-published 
Nicht gelesen,Dragon in the Dark,GracefulLioness,Ao3,Dramione,Completed,"164,782",31,,https://archiveofourown.org/works/23084956/chapters/55225084
Nicht gelesen,Happy Pills,mafloy101,Ao3,Dramione,Completed,"281,593",41,, https://archiveofourown.org/works/27697723/chapters/67785655 
Nicht gelesen,The Injury of Finally Knowing You,VanillaSage,Ao3,Dramione,Completed,135.039,21,,https://archiveofourown.org/works/49620259/chapters/125238901
Nicht gelesen,A Gallows Marriage,MilaBelle,Ao3,Dramione,Completed,162.244,31,,https://archiveofourown.org/works/56026003/chapters/142295119
Nicht gelesen,"Goodnight, You",likelyunfinished,Ao3,Dramione,Completed,224.98,42,,https://archiveofourown.org/works/54760885/chapters/143791693
Nicht gelesen,Tell me a Story,orolin,Ao3,Dramione,Completed,54.138,15,,https://archiveofourown.org/works/56352043/chapters/143176717
Nicht gelesen,Seek and Find ,serpent_and_sage,Ao3,Dramione,Completed,205.273,40,,https://archiveofourown.org/works/30200352/chapters/74413038
Nicht gelesen,"Baby, Any Time You're Ready, I'm Waiting",Zeebee3,Ao3,Dramione,Completed,"27,055",11,,https://archiveofourown.org/works/46474123/chapters/117017407
Nicht gelesen,A Game of Giving and Receiving,Biirdiee_Rose,Ao3,Dramione,Completed,"6,135",1,,https://archiveofourown.org/works/51088186
Nicht gelesen,SelfxConclusion,Spicyxpisces,Ao3,Dramione,Completed,"416,538",40,,https://archiveofourown.org/works/37393474/chapters/93315820
Nicht gelesen,Rosemary for remembrance,Rubber_soul02,Ao3,Dramione,Completed,"167,789",27,,https://archiveofourown.org/works/31486787/chapters/77887664
Nicht gelesen,Remain Nameless,Heyjude19,Ao3,Dramione,Completed,"312,286",51,,https://archiveofourown.org/works/23875939/chapters/57393508
Nicht gelesen,Detraquee,Hystaracal,Ao3,Dramione,Completed,"728,097",108,,https://archiveofourown.org/works/11163924/chapters/24917385
Nicht gelesen,Vow,Silveritas,Ao3,Dramione,WIP,,40?,,https://archiveofourown.org/works/52135606/chapters/131864689
Nicht gelesen,Bending light,scullymurphy,Ao3,Dramione,Completed,"146,880",29,,https://archiveofourown.org/works/26796304/chapters/65371042
Nicht gelesen,The Deadline,Lena Phoria,FF.net,Dramione,Completed,"329,548",39,,https://www.fanfiction.net/s/9831689/1/The-Deadline
Nicht gelesen,Meet your match,morriganmeercy,Ao3,Dramione,Completed,"121,611",26,,https://archiveofourown.org/works/34259563/chapters/85238605
Nicht gelesen,Draco Malfoy & The Mortifying Ordeal Of Being In Love,isthisselfcare,Ao3,Dramione ,Completed,"199,548",36,,https://archiveofourown.org/works/34500952/chapters/85870804
Nicht gelesen,Hot for Teacher,motherofbulls,Ao3,Dramione,Completed,"61,722",26,,https://archiveofourown.org/works/9694457/chapters/21880889
Nicht gelesen,Divination for skeptics,olivieblake,Ao3,Dramione,Completed,"98,052",12,,https://archiveofourown.org/works/19276393/chapters/45844324
Nicht gelesen,The order of serpents,bl_crtz,Ao3,Dramione,Completed,"193,506",44,,https://archiveofourown.org/works/33285814/chapters/82651144
Nicht gelesen,Unexpected,ambpersand,Ao3,Dramione,Completed,"66,880",13,,https://archiveofourown.org/works/31799176/chapters/79271086
Nicht gelesen,The List,AureliaBlack90,Ao3,Dramione,Completed,"70,526",10,,https://archiveofourown.org/works/20871695/chapters/49611572
Nicht gelesen,Hogwarts: A Home,coralcollective,Ao3,Dramione,WIP,,70?,,https://archiveofourown.org/works/32116096/chapters/79565590
Nicht gelesen,House Pet ,NinaBinaBallerina,Ao3,Dramione,WIP,,,,https://archiveofourown.org/works/38484064/chapters/96182521
Nicht gelesen,Not quite dark Magic,biccupfound,Ao3,Dramione,Completed,"109,437",31,,https://archiveofourown.org/works/22779658/chapters/54434479
Nicht gelesen,A Game of High Stakes,In_Dreams,Ao3,Dramione,Completed,"263,110",51,,https://archiveofourown.org/works/39620463/chapters/99182247
Nicht gelesen,Something Golden,justalazywriterr,Ao3,Dramione,Completed,"291,588",94,,https://archiveofourown.org/works/40567737/chapters/101636607
Nicht gelesen,The Goblet of Shadows,mkmg,Ao3,Dramione,WIP,,,,https://archiveofourown.org/works/42485601/chapters/106706355
Nicht gelesen,The eagle's Nest,heartofaspen,Ao3,Dramione,Completed,292798,71,,https://archiveofourown.org/works/14461941/chapters/33410025
Nicht gelesen,Various storms and Saints,viridianatnight,Ao3,Dramione,Completed,"199,835",48,,https://archiveofourown.org/works/28742985/chapters/70478562
Nicht gelesen,The Gloriana Set,thebemoon,Ao3,Dramione,Completed,"271,830",81,,https://archiveofourown.org/works/16821571/chapters/39485710
Nicht gelesen,The Darkwood Wand,thebemoon,Ao3,Dramione,Completed,"201,107",69,,https://archiveofourown.org/works/29741511/chapters/73153422
Nicht gelesen,Innocent Monsters,itscometothis,Ao3,Dramione,,,,,
Nicht gelesen,The Fallout,everythurdsday,,,,,,,
Nicht gelesen,Isolation,bexchan,,,,,,,
Nicht gelesen,The Gost of you,worthlesswriter,,,,,,,
Nicht gelesen,Things we're all too young to know,eevans,,,,,,,
Nicht gelesen,The disappearances of Draco Malfoy,speechwriter,,,,,,,
Nicht gelesen,Bring him to his knees  ,musyc,,,,,,,
Nicht gelesen,Contradictions,ambpersand,,,,,,,
Nicht gelesen,Chain of custody,whiskeygreen,,,,,,,
Nicht gelesen,My Darling (Ex) Wife,thescribeofdamocles,Ao3,,,,,,
Nicht gelesen,In The Spirit of Negotiations,noctisx,,,,,,,
Nicht gelesen,aparecium,ladykenz347,,,,,,,
Nicht gelesen,Don't hex the messenger,artgirl ,,,,,,,
Nicht gelesen,When we were beasts ,FantasyJune35,,,,,,,
Nicht gelesen,Redemption,anondracomalfoy,,,,,,,
Nicht gelesen,All that is Rare,smithandbarrowman,,,,119k,,,
Nicht gelesen,Broken,Inadaze22,,,,,,,
Nicht gelesen,Private Tour,allofthelights11,,,,88k,,,
Nicht gelesen,Unity Pairing and Bed Sharing,So_scarlett_maroon,,,,87k,,,
Nicht gelesen,Blackmailed,MistressLynn,,,,48k,,,
Nicht gelesen,Close Encounters,LeighJ,,,,,,,
Nicht gelesen,The Debt of Time ,ShayaLonnie,,Sirius x Mione,,�ber 700k,,,
Nicht gelesen,Fail Safe,,,,,,,,
Nicht gelesen,Osculum Annuum,MyDelphie,,,,,,,
Nicht gelesen,The Journal ,Mezy,,,,,,,
Nicht gelesen,Clean,olivieblake,,,,,,,
Nicht gelesen,Caput Mortuum,Croftisprocrastinating,Ao3,,,,,,
Nicht gelesen,I will Make You Proud,Wheredoesshego,Ao3,Dramione,Completed,"222,295",35,,
Nicht gelesen,The Lady of the Lake,Colubrina,Ao3,,,,,,
Nicht gelesen,These Hollow Vows,HeavenlyDew,,,,,,,
Nicht gelesen,Birth Right,LovesBitca8,Ao3,Lucius x Narzissa,Completed,"28,514",6,,https://archiveofourown.org/works/20053411/chapters/47490103
Nicht gelesen,Virulence,three_piece_suit,Ao3,,,,,,
Nicht gelesen,A Draco Malfoy Crusade: Saving Hermione Granger,Slytherinked,Ao3,,,,,,
Nicht gelesen,The Stars Above us ,embersofapril,Ao3,,,,,,
Nicht gelesen,Tremble & Departe,darkofthemoon,Ao3,,,,,,
Nicht gelesen,Once more with feeling,Wetpretzel,,,,,,,
Nicht gelesen,Oh Mami,Hypothetically,,,,,,,
