reading_status,title,author,platform,pairing,status,words,chapter,rating_note,
done,Lahmer Glorfindel,blackninja,fanfiction.de,gibt kans,done,,1,"diese story is aus ana reihe von parodie/comedy oneshots mit haldir, se san olle hilarious, 10/10 would recommend",
done,Glordinfel zu Fu�,blackninja,fanfiction.de,gibt kans,wip ,,1,"diese story is aus ana reihe von parodie/comedy oneshots mit haldir, se san olle hilarious, 10/10 would recommend",
done,K�chendieb Glorfindel,blackninja,fanfiction.de,gibt kans,done,,3,"diese story is aus ana reihe von parodie/comedy oneshots mit haldir, se san olle hilarious, 10/10 would recommend",
done,Glorfindel gelangweilt,blackninja,fanfiction.de,gibt kans,done,,1,"diese story is aus ana reihe von parodie/comedy oneshots mit haldir, se san olle hilarious, 10/10 would recommend",
done,Glorfindels Putztag,blackninja,fanfiction.de,gibt kans,done,,1,"diese story is aus ana reihe von parodie/comedy oneshots mit haldir, se san olle hilarious, 10/10 would recommend",
done,Glorfindels Trauma,blackninja,fanfiction.de,gibt kans,done,,3,"diese story is aus ana reihe von parodie/comedy oneshots mit haldir, se san olle hilarious, 10/10 would recommend",
done,Glorfindels Tapetenwechsel,blackninja,fanfiction.de,gibt kans,done,,2,"diese story is aus ana reihe von parodie/comedy oneshots mit haldir, se san olle hilarious, 10/10 would recommend",
done,Glorfindel und die Frisurendebatte,blackninja,fanfiction.de,gibt kans,done,,2,"diese story is aus ana reihe von parodie/comedy oneshots mit haldir, se san olle hilarious, 10/10 would recommend",
done,Glorfindels Schwur,blackninja,fanfiction.de,GlorfindelxOC,done,,1,"diese story is aus ana reihe von parodie/comedy oneshots mit haldir, se san olle hilarious, 10/10 would recommend",
done,Traum oder Wirklichkeit,Red Fox,fanfiction.de,LegolasxOC ,done,,40,"erdex mittelerde crossover, nicely written",
done,Erl�sung,Fiora-Miriel,fanfiction.de,LegolasxOC,done,,1,legolas OS what can i say,
done,Leggy in sedis beatis -ODER-Eine Mary-Sue wie sie im Buche steht,Hobbit Finn,fanfiction.de,LegolasxOC,done,,1,funny geschrieben,
done,Tannalvah,Gilthoniel,fanfiction.de,HaldirxOC,done,,1,is in da kategorie drama owa still Haldir is dabei sooooo,
done,Der Elb und das M�dchen,Kaylee,fanfiction.de,LegolasxOC ,,,5,story mit Legolas und OC - kau nur guad sei,
auf der Leseliste,Trust Me ,smokyquartz,Ao3,Dramione,,,,,
auf der Leseliste,Between us flows the Nile,brightcity,who knows ma finds nirgends,,,,,,
auf der Leseliste,The Fallout,everythursday,,,,,,,
