reading_status,title,author,platform,pairing,status,words,chapter,rating_note,
done ,Lavender Scones & Second Chances,meggowaffle,Ao3,Dramione,done,131 470,59,"absolute 15/10 would recommend, extrem nice story mit riesigem character development und echt s��e side ships :)",
done ,Muggle Jeans & Mischief,meggowaffle,Ao3,HarryxTheo,done,41229,25,"2. Teil in dem Universum von Lavender Scones and Second chances - absolute 10/10, i hab diese story innerhalb von 2 Tagen gelesen soooo es woa richtig guad what can i say (pretty spicy too v.a. am Anfang)",
done ,Blushes & Broomsticks,meggowaffle,Ao3,GinnyxCho,done,1483,1,"dont be scared by the shipping, i promise in dem universe mochts sinn, anyways es is a nices zusatzpiece zu lavender scones soo i would recommend 8/10",
done ,Quidditch Matches & Confessions,meggowaffle,Ao3,GinnyxCho,done,1671,1,OS quasi als Fortsetzung zu dem oberen :) 8/10,
done ,Love In A Time Of The Zombie Apocalypse,rizzlewrites,Ao3,Dramione,done,356114,84,"es woa a nice ff owa NOT ur typical dramione, i woa ma eig bis kurz vor schluss ned sicher ob draco sie wirklich gern hod - which was weird owa eigentlich woas a nice ff, so in dem motto ""whoever touches her is dead"" owa draco woa a a bissi scary soooo i dunno owa weil Draco in therapy geht und do character development passiert 8/10; PS: es gibt weitere Werke in dem ""Universum"" von der Autorin hobi aber ned gelesen weil de story alleine hod mi scho ziemlich zerst�rt",
done ,Private Tutor,allofthelights11,Ao3,Dramione,done,88369,20,des is eigentlich nua porn without plot; woa goa ned my cup of tea leider 2/10,
done ,The Darkwood Wand,ThebeMoon,Ao3,Dramione,done,201107,69,"da anfang woa ziemich weird, do h�tt i fosd aufgeh�rt des zu lesen owa dann woas sehr cute&spicy - overall 8/10",
done ,The Art of Wooing Hermione Granger: a 12-Month Affair,sad_millenial,Ao3,dramione mit theo,done,"39,291",14,"woa cuter  (vor allem wei Draco in dea ff soooooo unbeholfen is i cant) kurzer read f�r zwischen durch, ned extra spicy 8/10",
done ,Sincerely Yours,LovesBitca8,Ao3,Dramione,done,"40,759",10,"sehr s��e kurze dramione f�r zwischendurch, inspired by dem film email f�r dich - generell alles von lovesbitca8 is afoch nice zum lesen so 10/10",
done ,To Have A Home,nataliatena,fanfiction.de,gibt ka shipping in dea ff,done,,20,"gauns a cute ff mit timetravel, ka smut oda so afoch nur wholesome - 7/10",
done ,Der verlorene Patronus,wandbreaker,fanfiction.de,Snamione,done,,9,kurze cute Geschichte mit Snape und Hermione (wie alle von wandbreaker) 7/10,
done ,Der verkorkste Portaltrank,Nathalya,fanfiction.de,crossover ff,wip,,106 bis dato,"soooo guad i cant, es is a kombi aus Herr der Ringe und Harry Potter und des Storywriting is absolut guad, de shippings de entstehen san a extrem nice sooooo 12/10",
done,Der verkorkste Portaltrank-Outtakes,Nathalya,fanfiction.de,,wip,,4 bis dato,alternative oda so zus�tzliche chapters zur oberen ff - absolut nice weis a manchmal a bissi silly is 10/10,
done,Dramione-�ber dem Horizont,MilasMagie,fanfiction.de,Dramione,wip,,42,woa moi gauns nice-mittlerweile nimma meins leider oiso wegen so lazy storywriting 5/10 ,
done,Operation Rose,wandbreaker,fanfiction.de,,done,,8,cute ff mit de kiddies von unsre warheroes und so 7/10,
done,Just the three of us,Jenny Nocturna Black,fanfiction.de,dramione mit theo,done,,26,i was honestly nimma worums geht ._.,
done,If they knew,MazeJumper,fanfiction.de,Dramione,pausiert,,18,so Strafarbeitstile zwischen Draco und hermine OWA ned fertiggestellt!,
done,Love is a Devil,nataliatena,fanfiction.de,SnapexOC,done,,218,"absolute 15/10 endlich griagt snape moi character development und kummt �ber lilly hinweg, da OC is absolut likable chefs kiss",
done,Ein Drama in drei Akten oder Eine Begegnung die dein Leben ver�ndert (Eine Alan Rickman Geschichte),Lilygreeneyes,fanfiction.de,was nimma,done,,6,was nimma wirlich worums geht soo ka rating,
done,Das Buch der B�cher,telda,fanfiction.de,Snamione,done,,24,woa am Anfang echt nice - owa irgendwie is mit jedem Kapitel weirder woan - leider 5/10,
done,Dramione-Lass dein Gl�ck nicht ziehen,MilasMagie,fanfiction.de,Dramione,done,,81,afoch nua too much irgendwie-oiso f�r 14j�hrige Lena woas wos owa jetzt nimma 5/10,
done,Die einzige Zeugin,wandbreaker,fanfiction.de,Snamione,done,,30,15/10 would read again (in fact i HAVE-multiple times) absolute recommandation - i bin obsessed,
done,Alice...nicht ganz im Wunderland,bluemelody,fanfiction.de,Dramione,ruhend,,251,"des is dieses typische wos ma lesd waun ma Neuling auf ff.de is. und aus gr�nden, die i ned vasteh hod sie beschlossen de geschichte wieder weiterzuf�hren obwois eig. schon abgeschlossen woa like??? ",
done,Detention,Jenny Nocturna Black,fanfiction.de,wasi nimma probably dramione,done,,3,was nimma worums geht... irgendwas mit hermine ois schulsprecher und detention i guess,
done,Tempus Gratiae,Charlotta Rhea,fanfiction.de,Snamione,done,,4,Zeitreise fanfic- mega gut durchdacht und generell mega nice zum lesen absolute 12/10,
done,Du mein Friede,joulesbuecher,fanfiction.de,ka ship,done,,1,is a oneshot zu Dracos mentalem Innenleben - woa nice 7/10,
done,Dramione-Nach all den Jahren,Sparky Isa,fanfiction.de,Dramione,done,,6,Hermine und Draco stecken im Fahrstuhl fest... nice to read owa leida ned spicy (missed chance meiner meinung nach) 7/10,
done,"Harry Potter...und die 10 Sorten Fanfictions, die garantiert jeder kennt",Emma Lisa,fanfiction.de,ka ship,done,,10,mega funny es is a Parodie von de basic ffs ,
done,Dramione-Being a good father,MilasMagie,fanfiction.de,??,done,,8,"s��e Geschichte �ber Liebe, Trost und de frage noch den eigenen Wurzeln",
done,What if...,Jenny Nocturna Black,fanfiction.de,wasi nimma probably dramione,done,,40,i was honestly nimma worums geht ._.,
done,Nur ein kitschiger Moment,Charlotta Rhea,fanfiction.de,Snamione,done,,1,snamione owa ka smut?? sunst s�� 7/10,
done,Dance with the devil IV-Black Smoke,telda,fanfiction.de,Snamione,done,,10,erst jahre sp�ter hobi checkt das des EIN teil ana Reihe is owa a ois standalone piece woas nice- Snamione power couple 8/10,
done,Teenager-Liebe,wandbreaker,fanfiction.de,Snamione,done,,1,es is PG6 oise nix wos crazy is owa still cute 8/10,
done,Filmriss,wandbreaker,fanfiction.de,Snamione,done,,2,cute ff mit Snape und Hermine ned fluffy owa a ned spicy i dunno - 8/10,
done,Ein hei�er Sommer,McSchreiberling,fanfiction.de,Garry (jo des is mei pers�nlicher shipping Name f�r Ginny und Harry),done,,19,kinda spicy soweit i  mi erinner und trotzdem gauns a gute story 7/10,
done,Eiskalt,wandbreaker,fanfiction.de,Snamione,done,,10,absolut nice Snamione during the battle of hogwarts absolute empfehlung 10/10!!,
done,Der Irrwicht - Plotbunny zur ff Eiskalt ,wandbreaker,fanfiction.de,Snamione,done,,1,quasi so a Zusatzkapitel zum vorherigen - genauso wie oben absolut niceee und spicy 10/10,
done,Letters (Dramione Oneshot),Jenny Nocturna Black,fanfiction.de,Dramione,done,,1,was nimma worums geht... irgendwas mit hermine ois schulsprecher und detention i guess,
done,For the very first time ,wandbreaker,fanfiction.de,Snamione,done,,16,"post-war, es is a ziemlich nice ff -m 7/10",
done,For the very first time - Epilog-Variationen,wandbreaker,fanfiction.de,Snamione,done,,3,"wie da Titel scho sogt, Variationen zum Epilog von for the very first time",
done,Wenn Weasleys wetten - Ein Geburtstags-OS,nataliatena,fanfiction.de,ka ship,done,,1,cuter family OS bei de weasleys,
done,The Avengers - Vergeltung,telda,fanfiction.de,Snamione,done,,11,"Severus Snape is privatermittler und kl�rt an Mord auf, Hermione is a irgendwie mit dabei (i was honestly ned wos da Titel mit all dem zu tun hod owa jo)",
done,Ostern bei den Weasleys,anna88,fanfiction.de,ka ship,done,,1,es is a drabble (mega kurz owa iwie s��),
done,Die schwarze Wolldecke,Nachtlichtermeer,fanfiction.de,was nimma,done,,1,es steht Scherz/trost dabei owa i was nimma worums gaunga is,
done,Mein verbotenes Verlangen nach dir,Madame Fearless,fanfiction.de,?,wip,,27,sie hat scho sooooo lange ka neues Kap. mehr raufgeladen und i was absolut gar nimme worums geht au�er das Dramione woa owa es is jo ned moi fertig oiso eig ka Leseempfehlung wei de story ned abgeschlossen is,
done,Sometimes you have to let go,nataliatena,fanfiction.de,was nimma,done,,1,wieder a Schmerz/Trost OS,
done,Sweet Kisses & Hot Tea,BeWa84,fanfiction.de,Alan RickmanXOC (in der ICH Form),done,,6,i was honestly nimma worums geht ._. owa es is aus am Grund in meine Favs i guess,
done,Broken souls,muffinkerze,fanfiction.de,Snamione,wip,,4,"post-war, achtes Jahr owa scho mega lang ka update mehr",
done,Savin me,nataliatena,fanfiction.de,Dramione owa a iwie ned,done,,2,,
done,The Smell of Snow,Die Meg,fanfiction.de,Dramione,done,,9,Kriegsstory zu Weihnachten,
done,Ein Schloss ohne Magie,LadyMormont,fanfiction.de,Snamione,done,,2,in Hogwarts kommts zu an Magieausfall und mehr wasi nimma ,
done,Der Elfentrank,wandbreaker,fanfiction.de,Snamione,done,,20,Snape und Hermine m�ssen an Trank brauen um a magische Epidemie zu stoppen - 10/10 would recommend,
done,Seelenwanderung,tanzendeFeder,fanfiction.de,Snamione,done,,3,erst am Schluss Snamione und es is PG12 soo dont eexpect anything crazy,
done,Wer hat die Alpakas bestellt?,AlansSuende,fanfiction.de,Snamione,done,,1,hermine und Snape mit Humor,
done,Taming the Beasts,Madita,fanfiction.de,SnapexOC,wip,,25,scho mega lang kane updates mehr,
done,Dramione-Die sch�nste Erinnerung (OS),Sparky Isa,fanfiction.de,Dramione,done,,1,kan plan mehr worums geht,
done,Ein letzter Gru�,Icicle,fanfiction.de,??,done,,58,kan plan mehr worums geht,
done,Alte Magie,wandbreaker,fanfiction.de,Snamione,done,,20,"hermine hod durch an missgl�ckten Zauber kinda ""kontrolle"" �ber snape - 7/10",
done,April April - Das bedeutet KRIEG!,tanzendeFeder,fanfiction.de,Snamione,done,,25,gauns cute glaubi owa i was nimma genau,
done,Geraubter Traum,wandbreaker,fanfiction.de,Snamione,done,,3,achtung snamione smut alarm owa is a nice story (wegen dem smut hehe),
done,Durch den Wind,wandbreaker,fanfiction.de,Snamione,done,,10,achtes jahr snamione ff,
done,Eine Romanze in drei Akten,Zeitreisende,fanfiction.de,Snamione,done,,3,woa auf alle f�lle smutty owa i was nimma wos da plot woa ups,
done,Der feuchte Traum,Zeitreisende,fanfiction.de,Snamione,done,,1,smutty wida owa da plot is ma entfallen,
done,Die Chemie der Zaubertr�nke,LadyMormont,fanfiction.de,Snamione,done,,17,keine ahnung worums geht ,
done,Der Kuss des Todes,Alaany Noriza,fanfiction.de,Umbridge und Dementor,done,,1,bitte ned zu ernst nehmen wei like look at the shipping XD,
done,Das Vertrauen der Feinde,Alaany Noriza,fanfiction.de,Dramione,done,,1,plot??,
done,Zerst�rte Liebe,Alaany Noriza,fanfiction.de,Drapple,done,,1,again eher mit Humor nehmen bei des shipping is Draco und Apple,
done,This Love,malfoyswitch,fanfiction.de,DracoxOC,wip,,11,i hob jetzt erst checkt das de de fotrsetzung von ana anderen Story is von ihr... owa es is eh egal wei sie hod seit 6 jahren ka neichs kap mehr aufglond,
done,Bis zum letzten Atemzug,Alaany Noriza,fanfiction.de,NevillexLuna,done,,1,cute ff zu an von meine liebsten side ships,
done,"Jung, h�bsch, intellligent und in Schwierigkeiten",new beginning,fanfiction.de,Snamione,done,,16,plot??,
done,Es ist nicht immer Liebe f�r eine Beziehung notwendig,Black Owl,fanfiction.de,Drastoria,done,,28,keine ahnung worums geht ,
done,Solange du bei  mir bist,Midnightflower,fanfiction.de,Dramione,done,,47,kan plan mehr worums geht,
done,A Snowman named John,Die Meg,fanfiction.de,Dramione,done,,1,aus da kurzbeschreibung kau i man den plot a nimma zusammenreimen ,
done,Liebes-Nachrichten//Dramione,MissJHutch,fanfiction.de,Dramione,wip,,3,its a shame das do seit boid 10 jahren kane neichen Kap. mehr kuma san cause es woa nice,
done,Our last Night,malfoyswitch,fanfiction.de,DracoxOC,done,,44,jetzt hobi grod checkt das des de erste Teil von This Love is (es is lange her dasi des glesen hob ok) i glaub es woa hoid so a basic draco ff de ma in seine teenie jahre lest,
done,Seelenliebe,RomyFee,fanfiction.de,hermione und george,done,,8,spicy ,
done,In der Schlangengrube,BelaTalbot,fanfiction.de,Dramione,done,,36,,
done,Dramione Verborgene Gef�hle,Sakura-Malfoy,fanfiction.de,Dramione,wip,,2,seit 6 jahren kane updates mehr,
done,"Bitch, I don't need introduction!",Zobel,fanfiction.de,Dramione,wip,,23,seit 6 jahren kane updates mehr,
done,20 Words from (Middle)Earth,Nathalya,fanfiction.de,,,,1,,
done,The good old times,Aria Morgan Bishop,fanfiction.de,,,,2,seit 6 jahren kane updates mehr,
done,Das magische Tier im Wald,Hexe vom Duesterwald,fanfiction.de,ka ship,done,,1,oneshot von da isi wuhuuu 10/10,
done,Sonntagsbad,Mrx230,fanfiction.de,Dramione ,done,,1,,
done,Imagine,Zobel,fanfiction.de,Dramione,done,,1,was nimma worums geht,
done,Das Klassentreffen,Midnightflower,fanfiction.de,Dramione,done,,2,was nimma worums geht,
done,You are the one thing in my way,Zobel,fanfiction.de,Dramione,done,,24,was nimma worums geht,
done,Seven minutes in heaven,Nordkrone,fanfiction.de,Dramione,done,,2,Draco und Hermine verbringen bei an trinkspiel 7 minuten in an kasten- den rest kennts eich denken,
done,See you in New York,Amira Flavia,fanfiction.de,Dramione,done,,54,"post-war, hermine wohnt in New York und trifft dort auf Draco und sei tochter nachdem astoria tot is",
done,Unstillbares verlangen,Lady S,fanfiction.de,Dramione,done,,23,"ok so hear me out, warum auch immer brauen de sch�ler im Unterricht bei slughorn an trank der unstillbares verlangen ausl�st wtf?",
done,Next to you,DSWAN,fanfiction.de,Snamione,done,,30,was nimma worums geht,
done,The cucu's calling,attack09,fanfiction.de,Snamione??,done,,12,was nimma worums geht,
done,Bus Stop,Ivory Radio Star,fanfiction.de,Dramione,done,,9,eine Romanze rund um einen Regenschirm,
done,Three rooms,Die Meg,fanfiction.de,Dramione,done,,24,hermine und draco san schulsprecher und leben deswsegen gemeinsam mehr wasi nimma,
done,The Dragon's Bride,Die Meg,fanfiction.de,Dramione,done,,61,was nimma worums geht,
done,Zaubertrank des Schicksals,Lady S,fanfiction.de,,done,,19,,
done,Medicus,Charlotte Rhea,fanfiction.de,,,,7,was nimma worums geht,
done,PS: Nichts als die Wahrheit,attack09,fanfiction.de,Snamione,done,,1,,
done,"Von trunkenen Tr�nkemeistern, schwarzen Hunden und liebenden L�winnen",attack09,fanfiction.de,Snamione,done,,1,,
done,In Fluvio Temporis,attack09,fanfiction.de,Snamione,done,,1,,
done,Der Morgen danach,Charlotte Rhea,fanfiction.de,Snamione,done,,1,,
done,In Optima Forma,attack09,fanfiction.de,Snamione,done,,1,,
done,Was Schokolade zum schmelzen bringt,cherryjuice7,fanfiction.de,Dramione,done,,1,,
done,In Flagranti,attack09,fanfiction.de,Snamione,done,,1,,
done,"Eine Schlange, im Herzen Gryffindor",attack09,fanfiction.de,Snamione,done,,37,,
done,Klassenausflug,,fanfiction.de,,,,,,
done,"Come on, little schoolgirl!",wandbreaker,fanfiction.de,Snamione,done,,5,diese story is ned ohne grund in mein geheimen spicy ordner auf fanfiction.de,
done,Echte Gentlemen oder nicht?,tanzendeFeder,fanfiction.de,Snamione+Hermione und Lucius,done,,3,es woa spicy und explicit owa mittlerweile find is iwie nimma sooooooo gut still 6/10,
done,Der Duft der Frau,Da Vinci,fanfiction.de,Snamione,done,,1,woa spicy und nice wei i afoch a sucker f�r snape bin ,
done,Somnium,Da Vinci,fanfiction.de,Snamione+Remus,done,,3,es steht zwar unter der Kategorie Parodie owa es is hella spicy und waun ma gern so dreier sexy scenes lest go ahead :),
done,Enchained,Lizza,fanfiction.de,OC+OC,done,,29,des is zur abwechslung a story de weder mit HdR oder HP wos zu tun hat (and also hobi vergessen worums geht ^^),
done,Hide and Seek,Nathalya,fanfiction.de,Snamione,done,,10,des ranking dieser story is ned ohne grund P18-AVL (und jo 16 j�hrige Lena is bis um 4 in da fr�h aufgeblieben um diese story trotz mangelder Vollj�hrigkeit trotzdem zu lesen) needless to say es woa sehr spicy owa nua was f�r wen der gern in BDSM dabbeld (Snape as dungeonmaster hihi),
done,Familie Lupins sch�nstes Weihnachtsfest,nataliatena,fanfiction.de,/,done,,1,cuter OS zu Weihnachten in an Universum wo Harry ned zu de Dursleys muss sondern bei Remus wohnt,
done,Threads of Fate (Jasper/OC),bluemelody,fanfiction.de,Jasper (fo Twilight)XOC,wip ,,115 dawei,es woa nice owa irgendwie zaht sa sie scho extrem lange und es is auf pausiert ,
done,Die Piraten der Riptide,Lady Snow,fanfiction.de,,wip ,,61,listen es is so a nice story und es kuman a nu gelegentlich neiche kapitel owa es is afoch megaa frustrierend waun wos so guad geschrieben is und ma foi mitfiebert und daun kau ma ned weiterlesen,
done,Der Drachent�ter und die Meistersch�tzin,Hexe vom Duesterwald,fanfiction.de,,done,,1,von da Isi 10/10 :),
done,Memories,Hexe vom Duesterwald,fanfiction.de,Drarry,done,,1,von da Isi 10/10 :),
done,Von Zugfahren und Soldaten,Katzenpropaganda,fanfiction.de,,done,,1,was nimma worums geht,
done,THE OTHER SIDE,Kleiner-Halunke,fanfiction.de,OC+OC,done,,30,absolut nice story 10/10 would recommend (soitad meiner meinung nach a buch sei),
done,Zwischen Realit�t und Fantasie,Alaany Noriza,fanfiction.de,,done,,1,widmet sich der Frage: Warum lesen wir B�cher?,
done,Als der Mond die Sonne stahl...,nessa-elhen,fanfiction.de,Schauspieler vom Hobbit,done,,75,woa a love story mit mehreren steinen owa i was nimma worums geht,
done,The Tourists - An Unexpected Journey,Sinthoria,fanfiction.de,"LegolasxOC, ThorinxOC, ThranduilxOC, KilixOC, SmaugxOC, ElrondxLindir",done,,30,"des is a story auf dem genre humor und parodie, mega funny actually",
done,Love Without Words,Smoky ,fanfiction.de,ThranduilxOC,wip ,,83,es woa moi mega a nice story owa daun is iwie crazy woan soooooo,
done,A Lovely Flower,Smoky ,fanfiction.de,ThranduilxOC,wip ,,7,is eig a nice story owa seit 3 jahren ka update mehr,
done,Eine Liebe jenseits der Zeit,ILoveKingT,fanfiction.de,ThranduilxOC,done,,118,i was nimma genau worums geht owa muas nice gewesen sei sonst h�tt is ned gespeichert xD,
done,Shadows and Light,starry-night,fanfiction.de,LegolasxOC ,wip ,,69,scho seit 4 jahren ka neues kap mehr what a shame wei es woa a guade story,
